ID_MD	FORM	CAPITOL	RIND
70282	47	1034	0000000
71140	47	1034	0100000
70912	47	1034	0101000
71141	47	1034	0110000
70913	47	1034	0111000
70503	47	1034	0111001
70705	47	1034	0111002
70283	47	1034	0112000
70504	47	1034	0112001
70914	47	1034	0112002
71358	47	1034	0112003
71580	47	1034	0120000
70915	47	1034	0121000
70505	47	1034	0122000
71359	47	1034	0123000
70506	47	1034	0125000
71785	47	1034	0126000
70706	47	1034	0126001
70916	47	1034	0130000
70707	47	1034	0131000
70917	47	1034	0140000
71786	47	1034	0141000
71581	47	1034	0141001
70284	47	1034	0142000
71582	47	1034	0142001
70285	47	1034	0142002
71583	47	1034	0143000
71360	47	1034	0144000
71787	47	1034	0145000
70708	47	1034	0145001
71142	47	1034	0146000
71788	47	1034	0146001
71143	47	1034	0146002
70286	47	1034	0150000
71144	47	1034	0151000
71145	47	1034	0152000
70918	47	1034	0152001
70709	47	1034	0152002
70919	47	1034	0153000
71361	47	1034	0153001
70507	47	1034	0154000
70710	47	1034	0154001
71584	47	1034	0300000
71585	47	1034	0301000
71789	47	1034	0310000
70287	47	1034	0311000
71586	47	1034	0501000
71146	47	1034	0510000
70920	47	1034	1000000
71362	47	1034	1001000
71147	47	1034	1001001
70711	47	1034	1001002
70508	47	1034	1001003
70509	47	1034	1001004
70288	47	1034	1001005
70289	47	1034	1010000
71790	47	1034	1010001
70712	47	1034	1011000
71587	47	1034	1012000
70510	47	1034	1012001
70290	47	1034	1013000
71588	47	1034	1013001
71791	47	1034	1014000
71589	47	1034	1014001
70713	47	1034	1015000
71363	47	1034	1015001
71590	47	1034	1015002
71792	47	1034	1015003
71364	47	1034	1016000
71365	47	1034	1017000
70291	47	1034	1017001
71591	47	1034	1018000
70921	47	1034	1019000
71592	47	1034	1020000
70511	47	1034	1020001
71793	47	1034	1021000
70922	47	1034	1022000
70512	47	1034	1023000
70292	47	1034	1024000
70293	47	1034	1025000
70513	47	1034	1026000
71366	47	1034	1026001
71593	47	1034	1027000
70714	47	1034	1028000
71148	47	1034	1029000
71149	47	1034	1030000
71150	47	1034	1031000
70514	47	1034	1031001
70515	47	1034	1032000
70715	47	1034	1032001
70516	47	1034	1033000
71367	47	1034	1034000
71368	47	1034	1034001
70716	47	1034	1034002
70294	47	1034	1111111
70517	47	1034	1200000
71369	47	1034	1201000
70518	47	1034	1210000
70717	47	1034	1211000
71594	47	1034	1212000
71151	47	1034	1213000
70519	47	1034	1214000
70295	47	1034	1214001
70520	47	1034	1214002
70521	47	1034	1214003
71370	47	1034	1215000
70718	47	1034	1400000
70719	47	1034	1401000
71152	47	1034	1402000
71153	47	1034	1410000
70296	47	1034	1411000
71595	47	1034	1412000
70522	47	1034	1412001
71371	47	1034	1413000
71596	47	1034	1413001
70923	47	1034	1414000
70720	47	1034	1414001
70721	47	1034	1414002
70722	47	1034	1415000
70523	47	1034	1416000
70924	47	1034	1417000
70925	47	1034	1417001
71372	47	1034	1418000
71597	47	1034	1419000
71598	47	1034	1420000
71154	47	1034	1421000
71599	47	1034	1422000
71155	47	1034	1423000
71156	47	1034	1424000
71794	47	1034	1424001
71157	47	1034	1424002
71600	47	1034	1425000
70524	47	1034	1426000
71795	47	1034	1426001
71158	47	1034	1427000
70525	47	1034	1427001
70297	47	1034	1428000
71159	47	1034	1428001
70526	47	1034	1429000
70298	47	1034	1429001
71796	47	1034	1430000
71373	47	1034	1431000
70723	47	1034	1432000
71160	47	1034	1433000
70926	47	1034	1434000
70527	47	1034	1435000
71161	47	1034	1700000
70927	47	1034	1701000
70299	47	1034	1701001
71374	47	1034	1710000
70928	47	1034	1711000
70528	47	1034	1712000
71797	47	1034	1713000
70529	47	1034	1714000
71798	47	1034	1715000
71162	47	1034	1715100
71163	47	1034	1715200
71799	47	1034	1716000
70724	47	1034	1717000
70725	47	1034	1717001
71164	47	1034	1718000
70929	47	1034	1718001
71375	47	1034	1720000
70726	47	1034	1720001
71165	47	1034	1721000
70930	47	1034	1722000
71376	47	1034	1723000
70727	47	1034	1724000
71377	47	1034	1724001
71800	47	1034	1725000
71801	47	1034	1725001
71802	47	1034	1725002
71803	47	1034	1726000
71601	47	1034	1726001
70728	47	1034	1726002
70729	47	1034	1727000
70300	47	1034	1728000
71166	47	1034	1729000
70931	47	1034	1730000
71378	47	1034	1730001
70530	47	1034	1731000
71167	47	1034	1731001
71602	47	1034	1731002
71804	47	1034	1732000
70932	47	1034	1733000
71168	47	1034	1734000
70531	47	1034	1734001
70933	47	1034	1735000
70934	47	1034	1735001
70301	47	1034	1736000
71805	47	1034	1736001
70730	47	1034	1737000
71806	47	1034	1738000
71169	47	1034	1739000
70935	47	1034	1740000
71603	47	1034	1740001
71170	47	1034	1741000
70532	47	1034	1742000
70731	47	1034	1743000
71171	47	1034	1744000
70302	47	1034	1744001
70936	47	1034	1744002
71379	47	1034	2100000
71604	47	1034	2101000
71380	47	1034	2110000
70533	47	1034	2110001
71605	47	1034	2111000
71606	47	1034	2111001
70732	47	1034	2111002
70303	47	1034	2112000
70304	47	1034	2112001
71381	47	1034	2113000
70733	47	1034	2114000
70937	47	1034	2114001
70734	47	1034	2115000
70534	47	1034	2115001
71382	47	1034	2115002
71607	47	1034	2116000
70735	47	1034	2116001
71172	47	1034	2117000
70736	47	1034	2118000
70535	47	1034	2118001
71173	47	1034	2119000
71807	47	1034	2120000
71608	47	1034	2122000
70938	47	1034	2122001
71174	47	1034	2122002
71808	47	1034	2122003
71609	47	1034	2123000
70939	47	1034	2123001
70536	47	1034	2124000
70940	47	1034	2125000
70737	47	1034	2126000
71610	47	1034	2126001
71809	47	1034	2126002
70305	47	1034	2127000
71175	47	1034	2127001
71611	47	1034	2127002
71176	47	1034	2128000
70306	47	1034	2128001
71383	47	1034	2128002
71384	47	1034	2128003
71385	47	1034	2129000
71612	47	1034	2130000
71810	47	1034	2130001
71386	47	1034	2131000
70307	47	1034	2132000
71387	47	1034	2133000
71613	47	1034	2134000
70941	47	1034	2134001
70537	47	1034	2135000
71388	47	1034	2135001
70538	47	1034	2135002
70942	47	1034	2136000
70539	47	1034	2222222
71811	47	1034	2500000
70943	47	1034	2501000
71812	47	1034	2501001
70308	47	1034	2510000
70738	47	1034	2510001
71813	47	1034	2511000
70309	47	1034	2512000
71614	47	1034	2512001
71814	47	1034	2513000
70310	47	1034	2514000
70944	47	1034	2514001
71389	47	1034	2514002
70739	47	1034	2515000
70740	47	1034	2516000
70540	47	1034	2517000
70311	47	1034	2517001
70945	47	1034	2517002
70741	47	1034	2517003
70541	47	1034	2518000
71615	47	1034	2519000
70742	47	1034	2520000
70946	47	1034	2521000
70743	47	1034	2522000
71616	47	1034	2522001
70744	47	1034	2522002
70745	47	1034	2523000
71390	47	1034	2523100
71815	47	1034	2524000
71391	47	1034	2525000
70312	47	1034	2526000
71177	47	1034	2526001
71816	47	1034	2527000
71817	47	1034	2528000
70746	47	1034	2529000
71617	47	1034	2529001
71392	47	1034	2530000
70947	47	1034	2530001
71618	47	1034	2531000
70313	47	1034	2532000
70314	47	1034	2532001
71619	47	1034	2532002
70315	47	1034	2534000
70747	47	1034	2534001
70316	47	1034	2535000
71393	47	1034	2536000
70542	47	1034	2700000
70948	47	1034	2701000
70543	47	1034	2702000
70317	47	1034	2702001
71818	47	1034	2710000
71178	47	1034	2710001
71179	47	1034	2711000
70748	47	1034	2711001
71180	47	1034	2712000
70949	47	1034	2713000
71394	47	1034	2713001
70318	47	1034	2714000
71181	47	1034	2714001
70950	47	1034	2714002
70319	47	1034	2715000
71395	47	1034	2716000
70544	47	1034	2717000
70545	47	1034	2717001
70320	47	1034	2718000
70951	47	1034	2719000
70952	47	1034	2710002
71819	47	1034	2710003
71620	47	1034	2720000
71621	47	1034	2721000
71820	47	1034	2721001
70546	47	1034	2722000
